product_code,product_name,category,disposition,review_reason,approval_action,product_id,warehouse_id,gap,expected_adjustment_sum,actual_stock,proposed_quantity_change,correction_id,reason_breakdown,as_of_day
PB156,三角皮帶 B-156,V-Belts,actionable,,,84c740e3-4758-57c8-a31f-02d15999e899,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-66,-27,39,66,bd96f512-986f-5b86-af08-6fdd8d7f47c8,"SALES_RESERVATION=-486, SUPPLIER_DELIVERY=459",2026-04-17
PSPA-1332 OH,SPA-1332  OH,V-Belts,actionable,,,9cf0ae32-fb65-5b94-b70e-fb6e2792b215,26c77257-0dee-5c1a-a0aa-62ffa0603a01,66,122,56,-66,ddfe44cd-0bd8-5ff5-874a-087d40f605be,"SALES_RESERVATION=-190, SUPPLIER_DELIVERY=312",2026-04-17
OA032-6,耐熱皮帶 A-32,V-Belts,actionable,,,a26d854b-e494-548c-b145-20ca87c0c4b6,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-66,-31,35,66,f6b373d7-20d8-5aec-9245-1bda168f4209,SALES_RESERVATION=-31,2026-04-17
PC063,三角皮帶 C-63,V-Belts,actionable,,,d1a8ad4e-2455-5852-a488-c31748f18a37,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-66,-16,50,66,687da535-03fd-540a-8752-db624458ceea,"SALES_RESERVATION=-983, SUPPLIER_DELIVERY=967",2026-04-17
P3V-0475,P3V-0475  OH,V-Belts,actionable,,,ffc15b83-bc5e-58ae-b762-df09d4530a8e,26c77257-0dee-5c1a-a0aa-62ffa0603a01,66,125,59,-66,16420f85-aed1-5e94-9b3d-289101aee53d,"SALES_RESERVATION=-175, SUPPLIER_DELIVERY=300",2026-04-17
PSPA-1357 OH,SPA-1357  OH,V-Belts,actionable,,,753aa8f5-8445-5cf9-9c4f-4b50039122af,26c77257-0dee-5c1a-a0aa-62ffa0603a01,65,164,99,-65,328e5096-bc38-5725-9ebd-23bcade281ae,"SALES_RESERVATION=-384, SUPPLIER_DELIVERY=548",2026-04-17
PA102,三角皮帶 A-102,V-Belts,actionable,,,a4c229a0-3d9b-5583-a910-7b7b3dc41b63,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-65,-14,51,65,a816e94e-212d-5945-b1a8-0891ba8be67a,"SALES_RESERVATION=-754, SUPPLIER_DELIVERY=740",2026-04-17
P5V-0970 OH,5V-970   OH,V-Belts,actionable,,,b2e7d277-5c2c-5c8e-85c6-fb2f804219bf,26c77257-0dee-5c1a-a0aa-62ffa0603a01,65,114,49,-65,222bd47a-5f37-59de-867b-89ed3cab9d06,"SALES_RESERVATION=-7, SUPPLIER_DELIVERY=121",2026-04-17
VB055,齒型皮帶 B-55,Variable-Speed Belts,actionable,,,b4fdfa26-3d45-5ad9-9e2e-9e3dadd80ab4,26c77257-0dee-5c1a-a0aa-62ffa0603a01,65,130,65,-65,16e3ce8f-a897-5d3a-ab21-d56ac5cafaf3,"SALES_RESERVATION=-24, SUPPLIER_DELIVERY=154",2026-04-17
PSPB-1950 OH,SPB-1950 OH,V-Belts,actionable,,,bc4e4382-f10e-59ee-82a5-323ae5bffe32,26c77257-0dee-5c1a-a0aa-62ffa0603a01,65,84,19,-65,eecf50fb-1913-5910-aa25-7038ec6b3561,"SALES_RESERVATION=-331, SUPPLIER_DELIVERY=415",2026-04-17
XL84*10M/M,84XL*10M/M,Timing Belts,actionable,,,c6344e18-1d74-5e05-87c0-c85b6a809cea,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-65,-65,0,65,ffed0ce4-f703-5357-82d7-0c491b7cf806,SALES_RESERVATION=-65,2026-04-17
PC132,三角皮帶 C-132,V-Belts,actionable,,,c7e20686-8a97-51e7-85f8-71b55bb4332c,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-65,3,68,65,a5ab7c56-469d-5ad6-a064-aa3b8a24baf5,"SALES_RESERVATION=-1010, SUPPLIER_DELIVERY=1013",2026-04-17
PC124,三角皮帶 C-124,V-Belts,actionable,,,d1b42a7b-848e-5e66-bf98-d7f5e005b082,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-65,3,68,65,9caccd86-4274-5fe6-b24f-7ebe7e704fa4,"SALES_RESERVATION=-2882, SUPPLIER_DELIVERY=2885",2026-04-17
PSPA-882  OH,SPA-882   OH,V-Belts,actionable,,,fd4f9391-f0fb-5d80-9c63-224c20acc979,26c77257-0dee-5c1a-a0aa-62ffa0603a01,65,109,44,-65,ec86abf8-6194-509f-9bfc-7d0e1b15f222,"SALES_RESERVATION=-47, SUPPLIER_DELIVERY=156",2026-04-17
BO040,OH B-40,V-Belts,actionable,,,ffa78dbf-358e-5e42-89b1-c35de0885d6a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,65,175,110,-65,482777bd-be39-50a6-bec2-39da36da6297,"SALES_RESERVATION=-1620, SUPPLIER_DELIVERY=1795",2026-04-17
BO054,OH B-54,V-Belts,actionable,,,1a532a93-57ba-5abf-a37a-f5eca0c50b23,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-64,23,87,64,ae1a0c8c-c71e-5170-b4c8-c868cbb3fc92,"SALES_RESERVATION=-1148, SUPPLIER_DELIVERY=1171",2026-04-17
PD270,三角皮帶 D-270,V-Belts,actionable,,,46d39300-ba64-5f16-9d22-1ea789f5622f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-64,-19,45,64,b20c909f-f733-572b-b1d0-7cae6ad6e53d,"SALES_RESERVATION=-387, SUPPLIER_DELIVERY=368",2026-04-17
PC162,三角皮帶 C-162,V-Belts,actionable,,,5de2e6b6-2be8-52d2-8b59-67c8777e1996,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-64,-2,62,64,f5c20905-e718-5404-938d-1effb34a87e1,"SALES_RESERVATION=-1057, SUPPLIER_DELIVERY=1055",2026-04-17
4PK-945,4PK-945,Ribbed Belts,actionable,,,698b8868-6984-5d9d-a394-cb2bd243af08,26c77257-0dee-5c1a-a0aa-62ffa0603a01,64,64,0,-64,e22d9417-bb3b-582d-842c-3069d83befc0,SUPPLIER_DELIVERY=64,2026-04-17
PC158,三角皮帶 C-158,V-Belts,actionable,,,6990a41d-b9c8-5f51-b4c8-898193d54052,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-64,-32,32,64,930083c8-b6e4-5755-907d-a8b75e494e1d,"SALES_RESERVATION=-484, SUPPLIER_DELIVERY=452",2026-04-17
P5V-0500 OH,5V-500   OH,V-Belts,actionable,,,8673414a-977b-596c-a16b-bbf3e4d15226,26c77257-0dee-5c1a-a0aa-62ffa0603a01,64,104,40,-64,7a0c6d1b-c6d8-5555-9e7e-70e9916b8010,"SALES_RESERVATION=-50, SUPPLIER_DELIVERY=154",2026-04-17
PB157,三角皮帶 B-157,V-Belts,actionable,,,96078ee9-e2f3-597f-967f-1019d4532653,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-64,-6,58,64,9e902dc9-4c1b-5a22-877c-986c32ced942,"SALES_RESERVATION=-536, SUPPLIER_DELIVERY=530",2026-04-17
PF035,三角皮帶 FM-35,V-Belts,actionable,,,ac88cf9f-cca6-5968-99b7-50a3bb6b9510,26c77257-0dee-5c1a-a0aa-62ffa0603a01,64,105,41,-64,629373f6-ee48-55af-bcc2-9f37d06634a3,"SALES_RESERVATION=-45, SUPPLIER_DELIVERY=150",2026-04-17
0011,寄員客,Non-Merchandise,actionable,,,d916bf5b-9fc0-5a7f-867e-8d699a6faa18,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-64,-64,0,64,38edcc40-0854-5470-876f-49e8694520d3,SALES_RESERVATION=-64,2026-04-17
PC184,三角皮帶 C-184,V-Belts,actionable,,,8be492fa-8867-59ec-bde2-be80ce3bd669,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-63,-31,32,63,20d8bb7e-f0f2-5fcb-b227-d66840bbc368,"SALES_RESERVATION=-226, SUPPLIER_DELIVERY=195",2026-04-17
VB040,齒型皮帶 B-40,Variable-Speed Belts,actionable,,,a377cf9f-cc9d-5c0a-bea8-df2fd4cafc58,26c77257-0dee-5c1a-a0aa-62ffa0603a01,63,145,82,-63,48b8d572-6d65-5dc6-99e1-03d2b5037253,"SALES_RESERVATION=-114, SUPPLIER_DELIVERY=259",2026-04-17
PF025,三角皮帶 FM-25,V-Belts,actionable,,,a49f3566-0037-5f50-9af8-69d4ec882adf,26c77257-0dee-5c1a-a0aa-62ffa0603a01,63,113,50,-63,3d3004b1-4a74-5d49-9255-eb6faac9d7bd,"SALES_RESERVATION=-16, SUPPLIER_DELIVERY=129",2026-04-17
PB136,三角皮帶 B-136,V-Belts,actionable,,,bab53265-4d7c-5101-9c61-30827bb1a7ac,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-63,56,119,63,80ca8701-ee69-5bfc-8f7b-edd003ee41fd,"SALES_RESERVATION=-2387, SUPPLIER_DELIVERY=2443",2026-04-17
P3V-0270  OH,P3V-0270  OH,V-Belts,actionable,,,d1ae5078-c36f-5d1c-af5e-9ecad9c2f8c9,26c77257-0dee-5c1a-a0aa-62ffa0603a01,63,141,78,-63,56f7674c-705c-5d38-b625-d69e06fc1e2b,"SALES_RESERVATION=-61, SUPPLIER_DELIVERY=202",2026-04-17
VF053,齒型帶 3V FM-53,V-Belts,actionable,,,f099d5dd-aa91-57c9-9c09-9a20529891b9,26c77257-0dee-5c1a-a0aa-62ffa0603a01,63,63,0,-63,51e843a9-ff10-5298-861b-eea2d52fdcd4,"SALES_RESERVATION=-16, SUPPLIER_DELIVERY=79",2026-04-17
P3V-0280  OH,P3V-0280  OH,V-Belts,actionable,,,fb200317-a696-5731-867c-160f2102d077,26c77257-0dee-5c1a-a0aa-62ffa0603a01,63,136,73,-63,2973efa7-7c96-5eb2-9f83-a1a7b88f9944,"SALES_RESERVATION=-72, SUPPLIER_DELIVERY=208",2026-04-17
PB166,三角皮帶 B-166,V-Belts,actionable,,,14baac5c-ebc2-50f9-ba16-16f1fdbbcab1,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-62,-20,42,62,3d6a9240-f478-52d7-8e2b-627c0d8331fa,"SALES_RESERVATION=-470, SUPPLIER_DELIVERY=450",2026-04-17
PSPA-1632 OH,SPA-1632  OH,V-Belts,actionable,,,2b6fed0a-2b0b-59db-b1d4-5e6f9bdd77c8,26c77257-0dee-5c1a-a0aa-62ffa0603a01,62,167,105,-62,1359360f-8838-58e0-a563-69a06ac96c71,"SALES_RESERVATION=-390, SUPPLIER_DELIVERY=557",2026-04-17
RA047-6,日本齒帶 A-47,Timing Belts,actionable,,,73cb7848-51fc-5d6c-90df-86797882a48c,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-62,-21,41,62,40130b81-d1ee-5ee7-b90e-1857bf0919cd,"SALES_RESERVATION=-896, SUPPLIER_DELIVERY=875",2026-04-17
P5V-0840 OH,5V-840   OH,V-Belts,actionable,,,81f0d2af-1fc7-59e2-bd3b-0fd6305ea9a5,26c77257-0dee-5c1a-a0aa-62ffa0603a01,62,137,75,-62,8d874ac3-9bb0-51ff-8cd5-5d178e28f266,"SALES_RESERVATION=-4, SUPPLIER_DELIVERY=141",2026-04-17
P5V-1120 OH,5V-1120  OH,V-Belts,actionable,,,92956519-0bfd-5d91-805b-506355abdd6a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,62,99,37,-62,c420000b-1458-5e83-9395-7a495e0e6c7e,"SALES_RESERVATION=-536, SUPPLIER_DELIVERY=635",2026-04-17
P5V-0900 OH,5V-900   OH,V-Belts,actionable,,,c492b168-810c-50cb-841c-30336d23b26b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,62,194,132,-62,37f486b4-4541-509d-aafd-5f8d38da8ef1,"SALES_RESERVATION=-914, SUPPLIER_DELIVERY=1108",2026-04-17
BO027,OH B-27,V-Belts,actionable,,,d921d938-7657-539a-bd0d-78af63be98e7,26c77257-0dee-5c1a-a0aa-62ffa0603a01,62,62,0,-62,e73714aa-d32c-5f53-ad0d-5ed21c8689db,"SALES_RESERVATION=-58, SUPPLIER_DELIVERY=120",2026-04-17
PSPB-1750 OH,SPB-1750 OH,V-Belts,actionable,,,dc4ba2c7-b91d-58c7-8018-772f67f23c66,26c77257-0dee-5c1a-a0aa-62ffa0603a01,62,94,32,-62,b9989b92-39ea-56f0-8ec2-0bd606e7ab5f,"SALES_RESERVATION=-189, SUPPLIER_DELIVERY=283",2026-04-17
PSPA-1272 OH,SPA-1272  OH,V-Belts,actionable,,,e976a16a-acc9-5e24-ac58-59aae723b094,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-62,14,76,62,e5e7c6fb-7dc7-56a4-87ac-fa133d93b6db,"SALES_RESERVATION=-350, SUPPLIER_DELIVERY=364",2026-04-17
PD220,三角皮帶 D-220,V-Belts,actionable,,,f4c4c5ec-e664-5738-a413-0094ca59e482,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-62,-21,41,62,61f0b6c3-07c5-550b-93cc-532aaa292328,"SALES_RESERVATION=-923, SUPPLIER_DELIVERY=902",2026-04-17
PB163,三角皮帶 B-163,V-Belts,actionable,,,385cf2ef-9ffd-5cea-8316-8633739df07a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-61,-17,44,61,b9a2dc11-51b3-568f-9cc7-414de70aa1dc,"SALES_RESERVATION=-437, SUPPLIER_DELIVERY=420",2026-04-17
PB236,三角皮帶 B-236,V-Belts,actionable,,,b261cccd-ee50-58b8-8107-18481fa2a3ec,26c77257-0dee-5c1a-a0aa-62ffa0603a01,61,91,30,-61,b01d5073-be9d-5c89-b770-d511d76dffa2,"SALES_RESERVATION=-2189, SUPPLIER_DELIVERY=2280",2026-04-17
PC069,三角皮帶 C-69,V-Belts,actionable,,,c03abc16-315f-5ea2-aea9-059b7b590d42,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-61,24,85,61,9585951f-543f-59d8-a57d-f5bd4b0f324e,"SALES_RESERVATION=-1176, SUPPLIER_DELIVERY=1200",2026-04-17
VB057,齒型皮帶 B-57,Variable-Speed Belts,actionable,,,c8edac59-2c03-542f-a3b3-2d8b376b29a8,26c77257-0dee-5c1a-a0aa-62ffa0603a01,61,123,62,-61,4f3fcfa4-23a1-5afb-ae54-4cefdbd726cd,"SALES_RESERVATION=-20, SUPPLIER_DELIVERY=143",2026-04-17
RB045-6,日本齒帶 B-45,Timing Belts,actionable,,,ccc5f4ea-65e5-5d3f-a9d3-ce52152c9a3f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-61,-61,0,61,c825adab-fbc1-580f-a86b-c804b50d3071,"SALES_RESERVATION=-1383, SUPPLIER_DELIVERY=1322",2026-04-17
5PK-980,5PK-980,Ribbed Belts,actionable,,,da8a9c53-bb42-5b53-a5bc-40be8eab4419,26c77257-0dee-5c1a-a0aa-62ffa0603a01,61,61,0,-61,6797a8ed-9c99-5353-8395-71612a1c53ed,SUPPLIER_DELIVERY=61,2026-04-17
P5V-1400 OH,5V-1400  OH,V-Belts,actionable,,,f7f3474b-13f0-5591-90e5-f131adb9835f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,61,124,63,-61,19c44fbb-2846-511b-a768-01273d127d26,"SALES_RESERVATION=-600, SUPPLIER_DELIVERY=724",2026-04-17
AX088,AX-88  進口,V-Belts,actionable,,,11349d65-5637-5528-b950-db24601430a9,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,-60,0,60,fb7f4edb-fc4d-5ca0-b5ee-9fc8a9d4571e,"SALES_RESERVATION=-30, SUPPLIER_DELIVERY=-30",2026-04-17
AO029,OH A-29,V-Belts,actionable,,,17ae6294-3931-5c8d-a031-a4adb20708d6,26c77257-0dee-5c1a-a0aa-62ffa0603a01,60,104,44,-60,addf9364-fe80-5b77-9ad3-b1fbd5c659bd,"SALES_RESERVATION=-254, SUPPLIER_DELIVERY=358",2026-04-17
HS-55 13*590,HS-55 13*590M/M,Flat / Specialty Belts,actionable,,,2a519a40-44cb-506a-994e-2af39a6de05f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,-60,0,60,50b3fbf9-161e-5719-af19-80fc3a91a136,"SALES_RESERVATION=-210, SUPPLIER_DELIVERY=150",2026-04-17
PB159,三角皮帶 B-159,V-Belts,actionable,,,2dc8bb6b-5fdc-53c5-a382-ba108d2cf40b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,-37,23,60,c5951e41-6445-563e-bf83-8b05cec20bc1,"SALES_RESERVATION=-242, SUPPLIER_DELIVERY=205",2026-04-17
PB172,三角皮帶 B-172,V-Belts,actionable,,,4812deb1-ddc3-55fd-b249-085ce664b22a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,-32,28,60,66d3436d-eb29-5fef-aaab-c924eba48520,"SALES_RESERVATION=-236, SUPPLIER_DELIVERY=204",2026-04-17
5M-600*10M/M,600-5M*10M/M,Timing Belts,actionable,,,53835dc8-ee00-57f7-bd3e-d9c2cef55640,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,-40,20,60,4c97d8c3-db79-5adb-b0d2-f0c08b0a63e3,"SALES_RESERVATION=-49, SUPPLIER_DELIVERY=9",2026-04-17
HS-55 6*960,HS-55 6*960,Flat / Specialty Belts,actionable,,,57c7c786-c324-58a2-a8e1-fa93a69a8be4,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,-60,0,60,0b1d2031-83f1-5d77-800f-bef1d51efaff,"SALES_RESERVATION=-470, SUPPLIER_DELIVERY=410",2026-04-17
RM029-6,日本齒帶 FM-29,Timing Belts,actionable,,,74b05c2d-0210-5068-8956-8eca08ed718f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,-46,14,60,7b835ffe-a2dd-5eb1-bd3f-af6ffe6eec1f,"SALES_RESERVATION=-66, SUPPLIER_DELIVERY=20",2026-04-17
"4F 0.5*40""","4F 0.5*40""",Other Power Transmission,actionable,,,80f41aec-8dd2-5017-9f18-dd58e11485f8,26c77257-0dee-5c1a-a0aa-62ffa0603a01,60,60,0,-60,d29e14f8-fc83-5bf2-9feb-94e612da2751,SUPPLIER_DELIVERY=60,2026-04-17
HS-55 6*1020,HS-55 6*1020M/M,Flat / Specialty Belts,actionable,,,da4a42e5-ab91-5a31-93a3-912a8bedc0c2,26c77257-0dee-5c1a-a0aa-62ffa0603a01,60,60,0,-60,176aa8bb-b1f1-5cad-88ea-e191203ac508,SUPPLIER_DELIVERY=60,2026-04-17
P5V-1110 OH,5V-1110  OH,V-Belts,actionable,,,eadeb5ff-015a-5702-b274-4380cf4a407c,26c77257-0dee-5c1a-a0aa-62ffa0603a01,60,120,60,-60,11aa2e46-cff0-5b53-99e8-9e9e76e6b27e,SUPPLIER_DELIVERY=120,2026-04-17
AO061,OH A-61,V-Belts,actionable,,,f5903f46-b6c3-5174-aa21-a751013b12ec,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,1,61,60,9f0674b3-0404-514c-a58a-4177643463d9,"SALES_RESERVATION=-338, SUPPLIER_DELIVERY=339",2026-04-17
PSPA-1100 OH,SPA-1100  OH,V-Belts,actionable,,,fd16ba67-a7a0-5d3c-ad90-2b0d7d6d5048,26c77257-0dee-5c1a-a0aa-62ffa0603a01,60,99,39,-60,22e3d9f9-b681-53d6-b12d-b436a47b788b,"SALES_RESERVATION=-13, SUPPLIER_DELIVERY=112",2026-04-17
PK025,三角皮帶 K-25,V-Belts,actionable,,,fd172f99-6f9c-5fb0-9319-0b74ad27503c,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-60,43,103,60,5afbacd7-a1c5-552f-b24b-40f8ebecea0e,"SALES_RESERVATION=-107, SUPPLIER_DELIVERY=150",2026-04-17
LK033-3,大山 K-33,V-Belts,actionable,,,2467f1f3-8cdd-5ea9-842c-9207ea85d12e,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-59,-58,1,59,a68555c7-2f22-5945-b8cf-fe8f574d8cab,"SALES_RESERVATION=-88, SUPPLIER_DELIVERY=30",2026-04-17
P5V-0740 OH,5V-740   OH,V-Belts,actionable,,,40f07c95-a62c-5291-8260-675de0df428b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,59,131,72,-59,ad591477-828e-51bd-80ef-0b4e4e1ae048,"SALES_RESERVATION=-75, SUPPLIER_DELIVERY=206",2026-04-17
RA048-6,日本齒帶 A-48,Timing Belts,actionable,,,4805a4ea-50fd-5db9-a762-254e0c05c3e3,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-59,-20,39,59,58f84769-d59b-5428-a5bb-a17f2d831f6f,"SALES_RESERVATION=-676, SUPPLIER_DELIVERY=656",2026-04-17
P5V-0680 OH,5V-680   OH,V-Belts,actionable,,,7ea5b297-14e6-5edb-a77b-5caa7a94bc31,26c77257-0dee-5c1a-a0aa-62ffa0603a01,59,92,33,-59,7ab0d292-217d-5245-a309-03d9576f608e,"SALES_RESERVATION=-29, SUPPLIER_DELIVERY=121",2026-04-17
P5V-0990 OH,5V-990   OH,V-Belts,actionable,,,7effec7e-03af-587c-a27b-4f8a426c9f46,26c77257-0dee-5c1a-a0aa-62ffa0603a01,59,119,60,-59,665b57c2-2112-5a9b-a5db-fea3b54a7e45,"SALES_RESERVATION=-1, SUPPLIER_DELIVERY=120",2026-04-17
PC103,三角皮帶 C-103,V-Belts,actionable,,,84bc0c69-15ec-586c-aacc-16b782e589af,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-59,-12,47,59,df873df3-317d-5810-898a-9171540b19be,"SALES_RESERVATION=-1934, SUPPLIER_DELIVERY=1922",2026-04-17
P3V-0400  OH,P3V-0400  OH,V-Belts,actionable,,,a5d244ec-8fb3-5625-a82f-18becc8a44c8,26c77257-0dee-5c1a-a0aa-62ffa0603a01,59,112,53,-59,f144ee94-d36d-5f96-baba-7f41c6b44a10,"SALES_RESERVATION=-88, SUPPLIER_DELIVERY=200",2026-04-17
LK038-3,大山 K-38,V-Belts,actionable,,,c168a786-a005-571e-a959-bd95e04c2492,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-59,-59,0,59,5c2de248-c2a2-547b-89d3-90d7689558ea,"SALES_RESERVATION=-289, SUPPLIER_DELIVERY=230",2026-04-17
PC127,三角皮帶 C-127,V-Belts,actionable,,,d496b465-2545-56e9-a7a7-da4b3b2b79ad,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-59,-7,52,59,8572005b-6127-5534-be2a-11d0226bd555,"SALES_RESERVATION=-1117, SUPPLIER_DELIVERY=1110",2026-04-17
LPS-14 7*1030,LPS-14 7*1030,Flat / Specialty Belts,actionable,,,d9b51fba-4991-5ae3-afbc-e9261690c04e,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-59,-59,0,59,0cea327b-077d-5999-aeb7-aa6d2ad690a8,"SALES_RESERVATION=-80, SUPPLIER_DELIVERY=21",2026-04-17
P5V-0750 OH,5V-750   OH,V-Belts,actionable,,,11f6a5ba-93a9-5ffe-8c39-b3b92d937552,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-58,76,134,58,766ec290-75ba-5cad-9dc5-75c265db5665,"SALES_RESERVATION=-432, SUPPLIER_DELIVERY=508",2026-04-17
PC054,三角皮帶 C-54,V-Belts,actionable,,,5327fb8c-ac07-5ded-89db-afaec12eeee1,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-58,-33,25,58,bf1c3250-dd64-507b-8b6a-d7092f07cf3e,"SALES_RESERVATION=-242, SUPPLIER_DELIVERY=209",2026-04-17
RA049-6,日本齒帶 A-49,Timing Belts,actionable,,,65f22aec-cc2d-5ae9-8671-f1546bdf0720,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-58,-20,38,58,118c788b-b87f-5d49-a1ec-770cf7bdbfa7,"SALES_RESERVATION=-1290, SUPPLIER_DELIVERY=1270",2026-04-17
4PK-990,4PK-990,Ribbed Belts,actionable,,,8c2f7253-ffdd-525c-aa13-b5306e4e522f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,58,58,0,-58,d0549c98-a003-5f8b-b21f-b7486d6e173c,"SALES_RESERVATION=-1, SUPPLIER_DELIVERY=59",2026-04-17
PC215,三角皮帶 C-215,V-Belts,actionable,,,d5e7399b-a752-520b-82c8-55fe5fb55fa0,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-58,-28,30,58,f08acb27-7c8d-56b6-8e37-b532bc04988e,"SALES_RESERVATION=-343, SUPPLIER_DELIVERY=315",2026-04-17
PB474,三角皮帶 B-474,V-Belts,actionable,,,d9d414af-7a1b-53d7-a593-c19087e6adf4,26c77257-0dee-5c1a-a0aa-62ffa0603a01,58,76,18,-58,3156be26-23d5-5e57-8b05-b12030665b43,"SALES_RESERVATION=-2858, SUPPLIER_DELIVERY=2934",2026-04-17
PA152,三角皮帶 A-152,V-Belts,actionable,,,da57a25a-9d09-5d35-bdaa-a2f16bdaea9d,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-58,-12,46,58,447d21cf-e45a-54b5-898c-54f8b36a8cd0,"SALES_RESERVATION=-62, SUPPLIER_DELIVERY=50",2026-04-17
PSPA-2000 OH,SPA-2000  OH,V-Belts,actionable,,,38c841ca-7349-541b-8eee-0cb8a7cd4ed3,26c77257-0dee-5c1a-a0aa-62ffa0603a01,57,106,49,-57,7c38affe-5aa5-52c9-a945-35fe58dc159a,"SALES_RESERVATION=-278, SUPPLIER_DELIVERY=384",2026-04-17
VF057,齒型帶 3V FM-57,V-Belts,actionable,,,821377a5-968d-578a-be17-31fc5e5c3d4d,26c77257-0dee-5c1a-a0aa-62ffa0603a01,57,57,0,-57,157e15e3-aaa3-5842-844f-db3e945dd17b,"SALES_RESERVATION=-1, SUPPLIER_DELIVERY=58",2026-04-17
PB470,三角皮帶 B-470,V-Belts,actionable,,,c5296695-3a53-50bc-96c6-17b236a976db,26c77257-0dee-5c1a-a0aa-62ffa0603a01,57,59,2,-57,38e2484d-e5c6-5344-b3f4-2ab1454fb938,"SALES_RESERVATION=-243, SUPPLIER_DELIVERY=302",2026-04-17
PD265,三角皮帶 D-265,V-Belts,actionable,,,c89cd990-8b0c-5c40-a24e-b3f2bafe7a3e,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-57,-13,44,57,f92d083f-5c17-5221-a53b-5cf9d8abfe1b,"SALES_RESERVATION=-393, SUPPLIER_DELIVERY=380",2026-04-17
4PK-960,4PK-960,Ribbed Belts,actionable,,,40158c96-1626-5aff-a7b4-f04f5fe5fba0,26c77257-0dee-5c1a-a0aa-62ffa0603a01,56,56,0,-56,0c5d24ec-5f4f-58d9-a2e3-12f35a52a789,SUPPLIER_DELIVERY=56,2026-04-17
PC055,三角皮帶 C-55,V-Belts,actionable,,,abea7d26-320d-540a-839a-9ae7aea3b1af,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-56,-36,20,56,9bf8921b-6820-535a-bc72-37336e71af88,"SALES_RESERVATION=-323, SUPPLIER_DELIVERY=287",2026-04-17
PC042,三角皮帶 C-42,V-Belts,actionable,,,bda02b3c-9325-5df5-8e16-5c4a91788f9f,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-56,-36,20,56,3e468ebd-c5b9-5fe2-b50b-7bd32eba2e62,"SALES_RESERVATION=-61, SUPPLIER_DELIVERY=25",2026-04-17
PD260,三角皮帶 D-260,V-Belts,actionable,,,c37149a8-5bf0-5050-b191-bffc14221c99,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-56,-34,22,56,0b45aa3d-e3a5-5abb-8276-d6a2276a0378,"SALES_RESERVATION=-274, SUPPLIER_DELIVERY=240",2026-04-17
